id;Name;Description;Type;Year;Rating;Director;Genres;Image;startDate;endDate;webLink;netflixLink;Duration
80184770;"Siyah Kar";"Bir adam, görüşmediği kardeşini ailelerinin terk edilmiş evlerini satmaya ikna etmek için Patagonia'ya dönünce eski bir trajedi ve düşmanlık yeniden gün yüzüne çıkar.";Movie;2017;6.2;"Martin Hodara";"Suç, Drama, Gerilim";...;2017-06-10;2021-06-09;https://turflix.com/film/siyah-kar-80184770;https://www.netflix.com/title/80184770;91
80990328;"Fırtına İçin Bir Kurban";"Baztan Üçlemesinin üçüncü kısmında Amaia, birçok şüpheli bebek ölümünü ve korkunç ritüelleri araştırır. Bu sırada etrafındakiler, ölümcül bir tehlikeyle karşı karşıyadır.";Movie;2020;6.2;"Fernando González Molina";"Suç, Gizem, Gerilim";...;2020-07-24;NULL;https://turflix.com/film/firtina-icin-bir-kurban-80990328;https://www.netflix.com/title/80990328;138
80173176;Gardiyan;"FBI tarafından eğitilen bir polis, gençleri hedefleyen bir katili yakalamak için Navarre'deki memleketine döner ve geçmişiyle yüzleşir. Baztan Üçlemesinin birinci kısmı.";Movie;2017;6.4;"Fernando González Molina";"Suç, Gizem, Gerilim";...;2017-08-02;NULL;https://turflix.com/film/gardiyan-80173176;https://www.netflix.com/title/80173176;128
80121843;"Büyük Aldatmaca";"Bir zamanlar hizmet verdiği İspanyol hükümetinin ihanetine uğrayan eski gizli ajan, yozlaşmış bir kamu görevlisinin zimmetine geçirdiği milyonları çalma planı yapar.";Movie;2016;6.9;"Alberto Rodríguez";"Drama, Gerilim";...;2017-06-01;NULL;https://turflix.com/film/bueyuek-aldatmaca-80121843;https://www.netflix.com/title/80121843;122
81020523;"Criminal: İspanya";"Gerilim dolu bir sorgu odasında, dedektifler ve şüpheliler arasında psikolojik oyunlar yaşanır. Bu odadaki cevap arayışında ise bazen ahlaki bir bedel ödenir.";TVSeries;2019;6.9;NULL;"Diziler, Suç, Drama, Gerilim";...;2019-09-20;NULL;https://turflix.com/dizi/criminal-ispanya-81020523;https://www.netflix.com/title/81020523;1
81038598;Etki;"Komadaki annesine bakan kız kardeşine yardım için aile evine dönen Alicia, kendi çocuğunu da tehdit eden, geçmişine ait karanlık bir güçle yüzleşmelidir.";Movie;2019;4.5;"Dennis Rovira van Boekholt";Korku;...;2019-10-11;NULL;https://turflix.com/film/etki-81038598;https://www.netflix.com/title/81038598;101
80233258;"High Seas";"1940'larda İspanya'dan Brezilya'ya seyahat eden lüks bir gemide bir dizi gizemli ölüm gerçekleştikten sonra, iki kız kardeş rahatsız edici bazı aile sırlarını keşfeder.";TVSeries;2019;6.8;NULL;"Diziler, Suç, Drama, Tarihi, Gerilim";...;2019-05-24;NULL;https://turflix.com/dizi/high-seas-80233258;https://www.netflix.com/title/80233258;3
80084164;"The Shannara Chronicles";"Medeniyetin yok olmasından sonra, çok büyük bir şeytani güç gezegeni tehdit eder. Üç genç kahraman Dünya'nın kurtuluşu için son umut haline gelir.";TVSeries;2016;7.2;NULL;"Diziler, Aksiyon & Macera, Drama, Bilim Kurgu & Fantastik";...;2016-07-01;NULL;https://turflix.com/dizi/the-shannara-chronicles-80084164;https://www.netflix.com/title/80084164;2
80166319;"Küçük Deniz Kızı";"Klasik masalın bu uyarlamasında sirkte çalışan tutsak deniz kızı, şüpheci bir gazetecinin ve onun masum küçük kız kardeşinin hayatlarını dönüşümden geçirir.";Movie;2018;4.2;"Chris Bouchard";"Drama, Aile, Fantastik";...;2018-12-01;NULL;https://turflix.com/film/kuecuek-deniz-kizi-80166319;https://www.netflix.com/title/80166319;85
81312869;"Anastasia: Evvel Zaman İçinde";"Bir Rus prensesi, zaman portalındaki bir tehlikeyi atlattıktan sonra geçmişe dönüp ailesini kurtarmanın yolunu arar. 1980'lerin Amerikası'nda bir genç ona rehberlik eder.";Movie;2019;2.9;"Blake Harris";Aile;...;2021-06-01;NULL;https://turflix.com/film/anastasia-evvel-zaman-icinde-81312869;https://www.netflix.com/title/81312869;89
